  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:01 init [3]
    2 ?        S      0:00 [kthreadd]
    3 ?        I<     0:00 [rcu_gp]
    4 ?        I<     0:00 [rcu_par_gp]
    6 ?        I<     0:00 [kworker/0:0H-kblockd]
    8 ?        I<     0:00 [mm_percpu_wq]
    9 ?        S      0:01 [ksoftirqd/0]
   10 ?        I      0:21 [rcu_sched]
   11 ?        S      0:00 [migration/0]
   12 ?        S      0:00 [cpuhp/0]
   13 ?        S      0:00 [cpuhp/1]
   14 ?        S      0:00 [migration/1]
   15 ?        S      0:00 [ksoftirqd/1]
   17 ?        I<     0:00 [kworker/1:0H-kblockd]
   18 ?        S      0:00 [cpuhp/2]
   19 ?        S      0:00 [migration/2]
   20 ?        S      0:00 [ksoftirqd/2]
   22 ?        I<     0:00 [kworker/2:0H-events_highpri]
   23 ?        S      0:00 [cpuhp/3]
   24 ?        S      0:00 [migration/3]
   25 ?        S      0:00 [ksoftirqd/3]
   26 ?        I      0:10 [kworker/3:0-xfs-cil/sdg2]
   27 ?        I<     0:00 [kworker/3:0H-events_highpri]
   28 ?        S      0:00 [kdevtmpfs]
   29 ?        I<     0:00 [netns]
   32 ?        S      0:00 [kauditd]
   47 ?        I      0:00 [kworker/3:1-events]
   51 ?        I      0:01 [kworker/1:1-events]
  488 ?        I      0:00 [kworker/2:1-events_freezable_power_]
  489 ?        I      0:04 [kworker/2:2-mm_percpu_wq]
  490 ?        S      0:00 [oom_reaper]
  491 ?        I<     0:00 [writeback]
  493 ?        S      0:00 [kcompactd0]
  494 ?        I<     0:00 [crypto]
  567 ?        I<     0:00 [pencrypt]
  569 ?        I<     0:00 [pdecrypt]
  681 ?        I<     0:00 [kintegrityd]
  683 ?        I<     0:00 [kblockd]
  851 ?        I<     0:00 [ata_sff]
  867 ?        I<     0:00 [md]
  870 ?        I<     0:00 [edac-poller]
  880 ?        S      0:00 [watchdogd]
  978 ?        I<     0:00 [rpciod]
  979 ?        I<     0:00 [kworker/u9:0]
  980 ?        I<     0:00 [xprtiod]
 1207 ?        S      0:00 [kswapd0]
 1333 ?        I<     0:00 [nfsiod]
 1347 ?        I<     0:00 [xfsalloc]
 1348 ?        I<     0:00 [xfs_mru_cache]
 1412 ?        I<     0:00 [acpi_thermal_pm]
 1451 ?        I<     0:01 [kworker/3:1H-kblockd]
 1503 ?        I      0:00 [kworker/1:2-events_freezable_power_]
 1522 ?        S      0:00 [scsi_eh_0]
 1523 ?        I<     0:00 [scsi_tmf_0]
 1527 ?        S      0:00 [scsi_eh_1]
 1528 ?        I<     0:00 [scsi_tmf_1]
 1531 ?        S      0:00 [scsi_eh_2]
 1532 ?        I<     0:00 [scsi_tmf_2]
 1535 ?        S      0:00 [scsi_eh_3]
