  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:02 init [3]
    2 ?        S      0:00 [kthreadd]
    3 ?        I<     0:00 [rcu_gp]
    4 ?        I<     0:00 [rcu_par_gp]
    6 ?        I<     0:00 [kworker/0:0H-kblockd]
    7 ?        I      0:00 [kworker/u64:0]
    9 ?        I<     0:00 [mm_percpu_wq]
   10 ?        S      0:00 [ksoftirqd/0]
   11 ?        I      0:33 [rcu_sched]
   12 ?        S      0:00 [migration/0]
   13 ?        S      0:00 [cpuhp/0]
   14 ?        S      0:00 [cpuhp/1]
   15 ?        S      0:00 [migration/1]
   16 ?        S      0:00 [ksoftirqd/1]
   18 ?        I<     0:00 [kworker/1:0H-kblockd]
   19 ?        S      0:00 [cpuhp/2]
   20 ?        S      0:00 [migration/2]
   21 ?        S      0:00 [ksoftirqd/2]
   23 ?        I<     0:00 [kworker/2:0H-kblockd]
   24 ?        S      0:00 [cpuhp/3]
   25 ?        S      0:00 [migration/3]
   26 ?        S      0:00 [ksoftirqd/3]
   28 ?        I<     0:00 [kworker/3:0H-kblockd]
   29 ?        S      0:00 [cpuhp/4]
   30 ?        S      0:00 [migration/4]
   31 ?        S      0:00 [ksoftirqd/4]
   33 ?        I<     0:00 [kworker/4:0H-kblockd]
   34 ?        S      0:00 [cpuhp/5]
   35 ?        S      0:00 [migration/5]
   36 ?        S      0:00 [ksoftirqd/5]
   38 ?        I<     0:00 [kworker/5:0H-kblockd]
   39 ?        S      0:00 [cpuhp/6]
   40 ?        S      0:00 [migration/6]
   41 ?        S      0:00 [ksoftirqd/6]
   43 ?        I<     0:00 [kworker/6:0H-kblockd]
   44 ?        S      0:00 [cpuhp/7]
   45 ?        S      0:00 [migration/7]
   46 ?        S      0:00 [ksoftirqd/7]
   48 ?        I<     0:00 [kworker/7:0H-kblockd]
   49 ?        S      0:00 [cpuhp/8]
   50 ?        S      0:00 [migration/8]
   51 ?        S      0:00 [ksoftirqd/8]
   52 ?        I      0:00 [kworker/8:0-pm]
   53 ?        I<     0:00 [kworker/8:0H-kblockd]
   55 ?        S      0:00 [cpuhp/9]
   56 ?        S      0:00 [migration/9]
   57 ?        S      0:00 [ksoftirqd/9]
   58 ?        I      0:00 [kworker/9:0-events]
   59 ?        I<     0:00 [kworker/9:0H-kblockd]
   60 ?        S      0:00 [cpuhp/10]
   61 ?        S      0:00 [migration/10]
   62 ?        S      0:00 [ksoftirqd/10]
   63 ?        I      0:00 [kworker/10:0-events]
   64 ?        I<     0:00 [kworker/10:0H-kblockd]
   65 ?        S      0:00 [cpuhp/11]
   66 ?        S      0:00 [migration/11]
   67 ?        S      0:00 [ksoftirqd/11]
   68 ?        I      0:00 [kworker/11:0-events]
   69 ?        I<     0:00 [kworker/11:0H-kblockd]
   70 ?        S      0:00 [cpuhp/12]
   71 ?        S      0:00 [migration/12]
   72 ?        S      0:00 [ksoftirqd/12]
   73 ?        I      0:00 [kworker/12:0-events]
   74 ?        I<     0:00 [kworker/12:0H-kblockd]
   75 ?        S      0:00 [cpuhp/13]
   76 ?        S      0:00 [migration/13]
   77 ?        S      0:00 [ksoftirqd/13]
   78 ?        I      0:00 [kworker/13:0-events]
   79 ?        I<     0:00 [kworker/13:0H-kblockd]
   80 ?        S      0:00 [cpuhp/14]
   81 ?        S      0:00 [migration/14]
   82 ?        S      0:00 [ksoftirqd/14]
   83 ?        I      0:00 [kworker/14:0-events]
   84 ?        I<     0:00 [kworker/14:0H-kblockd]
   85 ?        S      0:00 [cpuhp/15]
   86 ?        S      0:00 [migration/15]
   87 ?        S      0:00 [ksoftirqd/15]
   88 ?        I      0:00 [kworker/15:0-events]
   89 ?        I<     0:00 [kworker/15:0H-kblockd]
   90 ?        S      0:00 [cpuhp/16]
   91 ?        S      0:00 [migration/16]
   92 ?        S      0:00 [ksoftirqd/16]
   93 ?        I      0:00 [kworker/16:0-events]
   94 ?        I<     0:00 [kworker/16:0H-kblockd]
   95 ?        S      0:00 [cpuhp/17]
   96 ?        S      0:00 [migration/17]
   97 ?        S      0:00 [ksoftirqd/17]
   98 ?        I      0:00 [kworker/17:0-events]
   99 ?        I<     0:00 [kworker/17:0H-kblockd]
  100 ?        S      0:00 [cpuhp/18]
  101 ?        S      0:00 [migration/18]
  102 ?        S      0:00 [ksoftirqd/18]
  103 ?        I      0:00 [kworker/18:0-events]
  104 ?        I<     0:00 [kworker/18:0H-kblockd]
  105 ?        S      0:00 [cpuhp/19]
  106 ?        S      0:00 [migration/19]
  107 ?        S      0:00 [ksoftirqd/19]
  108 ?        I      0:00 [kworker/19:0-events]
  109 ?        I<     0:00 [kworker/19:0H-kblockd]
  110 ?        S      0:00 [cpuhp/20]
  111 ?        S      0:00 [migration/20]
  112 ?        S      0:00 [ksoftirqd/20]
  114 ?        I<     0:00 [kworker/20:0H-kblockd]
  115 ?        S      0:00 [cpuhp/21]
  116 ?        S      0:00 [migration/21]
  117 ?        S      0:00 [ksoftirqd/21]
  118 ?        I      0:00 [kworker/21:0-events]
  119 ?        I<     0:00 [kworker/21:0H-kblockd]
  120 ?        S      0:00 [cpuhp/22]
  121 ?        S      0:00 [migration/22]
  122 ?        S      0:00 [ksoftirqd/22]
  123 ?        I      0:00 [kworker/22:0-events]
  124 ?        I<     0:00 [kworker/22:0H-kblockd]
  125 ?        S      0:00 [cpuhp/23]
  126 ?        S      0:00 [migration/23]
  127 ?        S      0:00 [ksoftirqd/23]
  129 ?        I<     0:00 [kworker/23:0H-kblockd]
  130 ?        S      0:00 [cpuhp/24]
  131 ?        S      0:00 [migration/24]
  132 ?        S      0:00 [ksoftirqd/24]
  133 ?        I      0:00 [kworker/24:0-events]
  134 ?        I<     0:00 [kworker/24:0H-kblockd]
  135 ?        S      0:00 [cpuhp/25]
  136 ?        S      0:00 [migration/25]
  137 ?        S      0:00 [ksoftirqd/25]
  138 ?        I      0:00 [kworker/25:0-events]
  139 ?        I<     0:00 [kworker/25:0H-kblockd]
  140 ?        S      0:00 [cpuhp/26]
  141 ?        S      0:00 [migration/26]
  142 ?        S      0:00 [ksoftirqd/26]
  143 ?        I      0:00 [kworker/26:0-events]
  144 ?        I<     0:00 [kworker/26:0H-kblockd]
  145 ?        S      0:00 [cpuhp/27]
  146 ?        S      0:00 [migration/27]
  147 ?        S      0:00 [ksoftirqd/27]
  148 ?        I      0:00 [kworker/27:0-events]
  149 ?        I<     0:00 [kworker/27:0H-kblockd]
  150 ?        S      0:00 [cpuhp/28]
  151 ?        S      0:00 [migration/28]
  152 ?        S      0:00 [ksoftirqd/28]
  153 ?        I      0:00 [kworker/28:0-events]
  154 ?        I<     0:00 [kworker/28:0H]
  155 ?        S      0:00 [cpuhp/29]
  156 ?        S      0:00 [migration/29]
  157 ?        S      0:00 [ksoftirqd/29]
  158 ?        I      0:00 [kworker/29:0-events]
  159 ?        I<     0:00 [kworker/29:0H-kblockd]
  160 ?        S      0:00 [cpuhp/30]
  161 ?        S      0:00 [migration/30]
  162 ?        S      0:00 [ksoftirqd/30]
  163 ?        I      0:00 [kworker/30:0-events]
  164 ?        I<     0:00 [kworker/30:0H-kblockd]
  165 ?        S      0:00 [cpuhp/31]
  166 ?        S      0:00 [migration/31]
  167 ?        S      0:00 [ksoftirqd/31]
  168 ?        I      0:00 [kworker/31:0-events]
  169 ?        I<     0:00 [kworker/31:0H-kblockd]
  170 ?        S      0:00 [kdevtmpfs]
  171 ?        I<     0:00 [netns]
  174 ?        I      0:13 [kworker/1:1-mm_percpu_wq]
  175 ?        S      0:00 [kauditd]
  192 ?        I      0:00 [kworker/0:2-events]
  199 ?        I      0:00 [kworker/3:1-rcu_gp]
  244 ?        I      0:00 [kworker/5:1-rcu_gp]
  263 ?        I      0:00 [kworker/2:1-rcu_gp]
  266 ?        I      0:00 [kworker/22:1-mm_percpu_wq]
  282 ?        I      0:00 [kworker/4:1-rcu_gp]
  306 ?        I      0:00 [kworker/19:1-mm_percpu_wq]
  350 ?        I      0:00 [kworker/20:1-rcu_gp]
  400 ?        I      0:00 [kworker/7:1-rcu_gp]
  411 ?        I      0:00 [kworker/21:1-events]
  421 ?        I      0:00 [kworker/17:1-mm_percpu_wq]
  510 ?        I      0:15 [kworker/23:1-mm_percpu_wq]
  621 ?        I<     0:00 [kworker/13:1H-kblockd]
  663 ?        I      0:00 [kworker/1:2-mm_percpu_wq]
  664 ?        S      0:00 [oom_reaper]
  665 ?        I<     0:00 [writeback]
  667 ?        S      0:00 [kcompactd0]
  668 ?        S      0:00 [kcompactd1]
  669 ?        I<     0:00 [crypto]
  742 ?        I<     0:00 [pencrypt]
  744 ?        I<     0:00 [pdecrypt]
  856 ?        I<     0:00 [kintegrityd]
  858 ?        I<     0:00 [kblockd]
  861 ?        I      0:00 [kworker/2:2-mm_percpu_wq]
  864 ?        I      0:04 [kworker/0:3-events]
  882 ?        I      0:00 [kworker/18:1-mm_percpu_wq]
 1747 ?        I      0:00 [kworker/6:0-mm_percpu_wq]
 1806 ?        I<     0:00 [kworker/10:1H-kblockd]
 1808 ?        I      0:00 [kworker/7:2-mm_percpu_wq]
 1810 ?        S      0:11 [jbd2/nvme0n1p1-]
 1811 ?        I<     0:00 [ext4-rsv-conver]
 1840 ?        I<     0:00 [ata_sff]
 1856 ?        I<     0:00 [md]
 1859 ?        I<     0:00 [edac-poller]
 1866 ?        S      0:00 [watchdogd]
 1960 ?        I      0:00 [kworker/3:2-mm_percpu_wq]
 1961 ?        I<     0:00 [rpciod]
 1962 ?        I<     0:00 [kworker/u67:0]
 1963 ?        I<     0:00 [kworker/u68:0]
 1964 ?        I<     0:00 [kworker/u69:0]
 1965 ?        I<     0:00 [xprtiod]
 1996 ?        I<     0:00 [kworker/9:1H-kblockd]
 2024 ?        I      0:00 [kworker/12:1-mm_percpu_wq]
 2042 ?        I      0:00 [kworker/27:1-mm_percpu_wq]
 2048 ?        I      0:00 [kworker/11:1-mm_percpu_wq]
 2061 ?        I      0:00 [kworker/28:1-mm_percpu_wq]
 2063 ?        I      0:00 [kworker/29:1-mm_percpu_wq]
 2067 ?        I      0:00 [kworker/31:1-mm_percpu_wq]
 2077 ?        I      0:00 [kworker/30:1-mm_percpu_wq]
 2080 ?        I      0:00 [kworker/14:1-mm_percpu_wq]
 2083 ?        I      0:00 [kworker/15:1-mm_percpu_wq]
 2096 ?        I      0:00 [kworker/25:1-mm_percpu_wq]
 2101 ?        I      0:00 [kworker/26:1-mm_percpu_wq]
 2182 ?        I<     0:00 [kworker/30:1H-kblockd]
 2216 ?        I      0:00 [kworker/13:1-mm_percpu_wq]
 2376 ?        S      0:00 [kswapd0]
 2377 ?        S      0:00 [kswapd1]
 2503 ?        I<     0:00 [nfsiod]
 2517 ?        I<     0:00 [xfsalloc]
 2518 ?        I<     0:00 [xfs_mru_cache]
 2552 ?        I      0:00 [kworker/8:1-mm_percpu_wq]
 2571 ?        I      0:00 [kworker/4:2-mm_percpu_wq]
 2590 ?        I      0:00 [kworker/9:1-events]
 2593 ?        I      0:00 [kworker/10:1-mm_percpu_wq]
 2606 ?        I      0:00 [kworker/16:1-mm_percpu_wq]
 2623 ?        I      0:00 [kworker/24:1-mm_percpu_wq]
 2641 ?        I<     0:00 [acpi_thermal_pm]
 2696 ?        I<     0:00 [nvme-wq]
 2698 ?        I<     0:00 [nvme-reset-wq]
 2700 ?        I<     0:00 [nvme-delete-wq]
 2710 ?        I<     0:00 [nvme_fc_wq]
 2725 ?        S      0:00 [scsi_eh_0]
 2726 ?        I<     0:00 [scsi_tmf_0]
 2730 ?        S      0:00 [scsi_eh_1]
 2731 ?        I<     0:00 [scsi_tmf_1]
 2734 ?        S      0:00 [scsi_eh_2]
 2735 ?        I<     0:00 [scsi_tmf_2]
 2738 ?        S      0:00 [scsi_eh_3]
 2739 ?        I<     0:00 [scsi_tmf_3]
 2761 ?        S      0:00 [scsi_eh_4]
 2762 ?        I<     0:00 [scsi_tmf_4]
 2765 ?        S      0:00 [scsi_eh_5]
 2766 ?        I<     0:00 [scsi_tmf_5]
 2769 ?        S      0:00 [scsi_eh_6]
 2770 ?        I<     0:00 [scsi_tmf_6]
 2773 ?        S      0:00 [scsi_eh_7]
 2774 ?        I<     0:00 [scsi_tmf_7]
 2777 ?        S      0:00 [scsi_eh_8]
 2778 ?        I<     0:00 [scsi_tmf_8]
 2781 ?        S      0:00 [scsi_eh_9]
 2782 ?        I<     0:00 [scsi_tmf_9]
 2885 ?        I<     0:00 [raid5wq]
 2887 ?        I<     0:00 [bcache]
 2888 ?        I<     0:00 [bch_journal]
 2892 ?        I<     0:00 [dm_bufio_cache]
 2894 ?        I<     0:00 [kmpathd]
 2895 ?        I<     0:00 [kmpath_handlerd]
 2935 ?        I<     0:00 [ipv6_addrconf]
 3021 ?        I<     0:00 [kworker/7:1H-kblockd]
 3047 ?        I<     0:00 [kworker/3:1H-kblockd]
 3049 ?        I<     0:00 [kworker/20:1H-kblockd]
 3057 ?        I      0:01 [kworker/5:2-events_power_efficient]
 3058 ?        I      0:00 [kworker/6:2-rcu_gp]
 3061 ?        I<     0:00 [kworker/5:1H-kblockd]
 3062 ?        I<     0:00 [kworker/16:1H-kblockd]
 3065 ?        S      0:02 [jbd2/sda2-8]
 3066 ?        I<     0:00 [ext4-rsv-conver]
 3070 ?        I<     0:00 [kworker/21:1H-kblockd]
 3073 ?        I<     0:00 [kworker/18:1H-kblockd]
 3078 ?        I<     0:00 [kworker/23:1H-kblockd]
 3080 ?        I<     0:00 [kworker/22:1H-kblockd]
 3083 ?        I<     0:00 [kworker/1:1H-kblockd]
 3088 ?        I<     0:00 [kworker/19:1H-kblockd]
 3092 ?        I<     0:00 [kworker/4:1H-kblockd]
